1,0
look hire experts flutter developer eligible post apply resume job type fulltime parttime salary ₹2000000 ₹4000000 per month benefit flexible schedule food allowance schedule day shift supplemental pay join bonus overtime pay experience total work 1 year prefer house rent subsidy yes industry software development work remotely temporarily due covid19,0
pythondjango developerlead job codepdj 04 strong python experience api development restrpc experience work api frameworks djangoflask experience evaluate improve efficiency program linux environment ability effectively handle multiple task high level accuracy attention detail good verbal write communication skills work knowledge sql json experience prefer good knowledge automate unit test use pyunit,1
data scientist contractor bangalore responsibilities look capable data scientist join analytics team report locally india bangalore person ’ responsibilities include research design development machine learn deep learn algorithms tackle variety fraud orient challenge data scientist work closely software engineer program managers deliver endtoend products include data collection big scale analysis explore different algorithmic approach model development assessment validation – way production qualifications least 3 years handson development complex machine learn model use modern frameworks tool ideally python base solid understand statistics apply mathematics creative thinker prove ability tackle open problems apply nontrivial solutions experience software development use python java similar language graduate msc computer science mathematics equivalent preferably machine learn ability write clean concise code quick learner independent methodical detail orient team player positive attitude collaborative good communication skills dedicate make things happen flexible capable make decisions ambiguous change environment advantage prior experience software developer data engineer – advantage experience big data – advantage experience spark – big advantage experience deep learn frameworks pytorch tensorflow keras – advantage experience telecommunication domain andor fraud prevention advantage,2
job description strong framework outside ios always plus ios experience generalist engineer background relate technologies plus discipline approach development documentation file structure strong visual design sense excellent taste constant desire improve learn take things higher excellent understand network mobile network issue concurrency thread experience work internationalize apps responsibilities design build advance applications ios platform collaborate crossfunctional team define design ship new feature work bug fix improve application performance continuously discover evaluate implement new technologies maximize development efficiency publish one ios apps app store deep familiarity objectivec cocoa touch experience work ios frameworks core data core animation core graphics core text experience thirdparty libraries apis work knowledge general mobile landscape architectures trend emerge technologies solid understand full mobile development life cycle responsible work different layer ios apps help architect maintain set native mobile applications,3
job responsibility full stack engineer – react role make impact petsmart transform engineer team meet need rapidly change retail environment role foundational help build craft petsmart ’ prowess make react j native key framework across mobile web property work across web mobile application part build amaze mobile first customer experience impact customer store digital channel goal responsibility include act full stack developer across petsmart ’ various web mobile solution full stack engineer help build petsmart ’ competency use react j native across mobile web property partner web engineer team strategy share component across application best practice new advancement react community work product ux team review design concept offer suggestion decrease complexity maintain spirit experience proactively make recommendation technical enhancement better performance scalability maintainability accountable deliver agile environment createsoversees completion technical development mobile web solution work cross functional business team design develop solution base business requirement identify area improvement design implementation process tool automate test quality assurance mentor le experience developer remain current latest web technology seek integrate solution appropriate ’ bring table 5 year handson experience web development 2 year recent experience work react strong experience various j library framework redux angular vue etc expert understand javascript html cs restful apis http network concept full stack web development architecture expertise experience mvc objectoriented program concept experience implement responsive design adaptive design demonstrate strong frontend development skill especially concern accessibility extensibility clientside compute objectoriented design pattern objectoriented cs experience sasslesspostcss framework demonstrate passion user experience design usability familiar experience make use open source component ability address short term tactical requirement without lose site longer range strategic direction selfmotivated discipline meet deadline speed accuracy professional attitude excellent write oral communication skill excellent analytical troubleshoot skill collaborative team player ability resolve conflict constructive manner work around obstacle ensure project success b computer science equivalent team ’ grow faster pace ever invest heavily cuttingedge technology importantly people petsmart team ’ department value business partner every area company every level associate empower come innovative idea strategic impact business ’ take pride work “ ” behind all—for love pet click meet mike goodwin petsmart ’ cio ’ love home office offer outstanding amenity fun reward workplace include pet friendly environment bring pet work worklife balance family event movie night art event holiday festival “ top dog ” gym equipment fitness class massage therapist personal trainer “ sit stay ” café serve fresh breakfast lunch option starbucks cart—productivity finest “ lil ’ paw ” learn center onsite childcare facility volunteer event petsmart charity submit resume,4
software developer integration immediate open dynamic akron cleveland area company look experience software developer integration developer design develop test maintain enhance multiple systems serve internal users well suppliers customers integration developer interact internal business partner deliver systems advance company strategy improve enterprise capability candidates need demonstrate experience follow skillsets · prove technical expertise design development cod test debug enterprise software · strong knowledge web service wsdl soap restful · experience work relational databases · experience author maintain data access database query · familiar standard software design pattern methodologies mvc architecture · proficient follow technologies c net net core html5 css3 mssql mysql reactjs · experience work andor administer microsoft iis · experience syspro ’ erp package plus require candidates must able execute follow function · create deploy code configuration associate support project work across application portfolio · assist create evolve standardize technical process source code management continuous integration etc · submit code configuration high level quality performance security scalability extensibility · assist creation evaluation business requirements project plan requirements include · take pride deliver work time quality · good problem solve decision make abilities · ability learn quickly fastpaced environment · ability work independently team · effectively juggle continuous mix support project work · able work hours provide oncall support need ideal candidate must selfstarter able work independently experience skillsets mention position require highly responsible organize individual good work ethic minimum two years experience use tool technologies note compensation commensurate experience industries manufacturingother education bachelor degree computer science information systems relate field combination education equivalent work experience job type contract experience software development 2 years require work location one location work remotely,5
senior full stack developer 1800026h cwt look senior full stack developer prove backend skill well strong frontend skill role ’ use cuttingedge technology help develop next generation business travel solution million user worldwide participate lead architecture review technology standard definition lead effort find implement support new technology framework standard experiment implement propose new process technology develop backend system design scale analyze business software requirement develop backend software test learn new technology broaden tech stack provide tier 3 production support handle live production issue participate develop agile software development process qualification bsc degree computer science engineer relevant field equivalent industry experience minimum 2 year experience develop follow nodejs java experience nosql solution mongodb elasticsearch redis experience reactangular knowledge singlepage application spa development advantage experience javascript cs html responsive ui cross browser advantage experience develop rich largescale web application advantage experience develop robust http apis backend service passion technology build product team player excellent interpersonal skill selfmotivated independent learner eligible candidate must valid passport able travel israel 6 week train shortly hire primary location usilchicago work home employment type standard job family information technology scope global travel yes 15 time shift day job organization p thotel product experience level 3 5 year job post may 9 2018 equal opportunity employeraffirmative action employer organization discriminate employment practice due applicant ’ race color religion sex national origin veteran status disability status sexual orientation gender identity federal state local protect class,6
job description reactjs nodejs azure function graphql capability strong hand experience javascript frameworks like reactjs hand experience nodejs hand experience azure function integrations strong hand experience html5css3javascript excellent write verbal communication knowledge rest well graphql experience range 3 8 years educational qualifications graduation pg doctorate job responsibilities implement visual components build rich ui complex internal external systems take ownership modules build foundation new systems inline improve quality process productivity passion quality write clean solid readable code scale perform well skills require reactjs nodejs azure function graphql job code kldp3pzb64,7
main responsibilities deliverables managesupport rollout scalability execution automation consume various team ensure automation service scale handle rapid growth use automations establish ability measure optimize system health performance ongoing basis configure tune troubleshoot automations achieve optimal application performance stability strong script experience bash ruby python java solid experience work commercial grade automate deployment configuration mgmt tool puppet chef cloudify cfengine puppet skills strongly covet strong “ handson ” experience open source provision tool cobbler foreman php linux likewise open source systems tool utilities strong senior level linux windows os experience troubleshoot skills experience application debug performance scalability capacity plan expertise manage full system lifecycle automations include configuration code deployment user acceptance test production environments improve automate product performance health check “ selfhealing ” capabilities complex highly available cloud environments participate assist drive automation tool roadmap increase availability performance reduce support demand drive adoption infrastructure code devops orient organization partner rd team engineer resilient supportable scalable products architect solutions leverage best cloud infrastructure experience tool software urban code hadoop tomcat mule openam apache experience f5 load balancers network theory protocols tcpip http ntp dns hardware components,8
